//Map No	Old Grouping	New Grouping	New Flip	1
1.1.1.110.100.150.180.360.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.150.180.400.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.150.180.450.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.150.180.500.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.150.180.621.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.150.180.631.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.150.180.660.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.150.180.700.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.150.190.100.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.300.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.310.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.320.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.350.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.360.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.400.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.450.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.500.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.621.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.631.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.660.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.150.190.700.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.151.100.100.00000.000	22.20.05	22.20.10.10.005		1
1.1.1.110.100.151.100.621.00000.000	22.20.05	22.20.10.10.005		1
1.1.1.110.100.151.100.631.00000.000	22.20.05	22.20.10.10.005		1
1.1.1.110.100.151.110.100.00000.000	22.20.05	22.20.11.10.005		1
1.1.1.110.100.151.110.621.00000.000	22.20.05	22.20.11.10.005		1
1.1.1.110.100.151.110.631.00000.000	22.20.05	22.20.11.10.005		1
1.1.1.110.100.151.120.100.00000.000	22.20.05	22.20.12.10.005		1
1.1.1.110.100.151.120.621.00000.000	22.20.05	22.20.12.10.005		1
1.1.1.110.100.151.120.631.00000.000	22.20.05	22.20.12.10.005		1
1.1.1.110.100.151.130.100.00000.000	22.20.05	22.20.13.10.005		1
1.1.1.110.100.151.130.621.00000.000	22.20.05	22.20.13.10.005		1
1.1.1.110.100.151.130.631.00000.000	22.20.05	22.20.13.10.005		1
1.1.1.110.100.151.140.100.00000.000	22.20.05	22.20.14.10.005		1
1.1.1.110.100.151.140.621.00000.000	22.20.05	22.20.14.10.005		1
1.1.1.110.100.151.140.631.00000.000	22.20.05	22.20.14.10.005		1
1.1.1.110.100.151.150.100.00000.000	22.20.05	22.20.15.10.005		1
1.1.1.110.100.151.150.621.00000.000	22.20.05	22.20.15.10.005		1
1.1.1.110.100.151.150.631.00000.000	22.20.05	22.20.15.10.005		1
1.1.1.110.100.151.160.100.00000.000	22.20.05	22.20.16.10.005		1
1.1.1.110.100.151.160.621.00000.000	22.20.05	22.20.16.10.005		1
1.1.1.110.100.151.160.631.00000.000	22.20.05	22.20.16.10.005		1
1.1.1.110.100.151.170.100.00000.000	22.20.05	22.20.17.10.005		1
1.1.1.110.100.151.170.621.00000.000	22.20.05	22.20.17.10.005		1
1.1.1.110.100.151.170.631.00000.000	22.20.05	22.20.17.10.005		1
1.1.1.110.100.151.180.100.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.151.180.621.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.151.180.631.00000.000	22.20.05	22.20.18.10.005		1
1.1.1.110.100.151.190.100.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.151.190.621.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.151.190.631.00000.000	22.20.05	22.20.19.10.005		1
1.1.1.110.100.200.500.100.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.200.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.200.00000.001	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.220.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.300.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.310.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.320.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.350.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.360.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.400.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.450.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.510.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.660.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.500.700.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.200.510.100.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.200.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.200.00000.001	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.220.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.300.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.310.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.320.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.350.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.360.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.400.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.450.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.510.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.660.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.510.700.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.200.520.100.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.200.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.200.00000.001	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.220.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.300.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.310.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.320.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.350.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.360.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.400.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.450.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.510.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.660.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.520.700.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.200.530.100.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.200.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.200.00000.001	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.220.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.300.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.310.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.320.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.350.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.360.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.400.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.450.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.510.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.660.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.530.700.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.200.540.100.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.200.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.200.00000.001	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.220.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.300.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.310.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.320.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.350.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.360.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.400.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.450.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.510.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.660.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.540.700.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.200.550.100.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.200.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.200.00000.001	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.220.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.300.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.310.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.320.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.350.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.360.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.400.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.450.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.510.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.660.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.550.700.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.200.560.100.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.200.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.200.00000.001	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.220.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.300.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.310.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.320.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.350.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.360.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.400.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.450.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.510.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.660.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.560.700.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.200.570.100.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.200.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.200.00000.001	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.220.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.300.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.310.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.320.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.350.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.360.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.400.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.450.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.510.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.660.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.200.570.700.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.500.100.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.200.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.200.00000.001	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.220.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.300.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.310.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.320.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.350.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.360.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.400.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.450.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.510.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.640.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.660.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.500.700.00000.000	22.20.01	22.20.50.10.011		1
1.1.1.110.100.201.510.100.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.200.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.200.00000.001	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.220.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.300.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.310.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.320.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.350.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.360.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.400.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.450.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.510.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.640.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.660.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.510.700.00000.000	22.20.01	22.20.51.10.011		1
1.1.1.110.100.201.520.100.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.200.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.200.00000.001	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.220.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.300.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.310.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.320.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.350.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.360.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.400.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.450.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.510.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.640.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.660.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.520.700.00000.000	22.20.01	22.20.52.10.011		1
1.1.1.110.100.201.530.100.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.200.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.200.00000.001	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.220.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.300.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.310.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.320.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.350.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.360.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.400.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.450.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.510.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.640.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.660.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.530.700.00000.000	22.20.01	22.20.53.10.011		1
1.1.1.110.100.201.540.100.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.200.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.200.00000.001	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.220.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.300.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.310.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.320.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.350.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.360.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.400.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.450.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.510.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.640.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.660.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.540.700.00000.000	22.20.01	22.20.54.10.011		1
1.1.1.110.100.201.550.100.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.200.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.200.00000.001	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.220.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.300.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.310.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.320.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.350.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.360.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.400.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.450.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.510.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.640.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.660.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.550.700.00000.000	22.20.01	22.20.55.10.011		1
1.1.1.110.100.201.560.100.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.200.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.200.00000.001	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.220.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.300.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.310.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.320.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.350.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.360.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.400.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.450.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.510.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.640.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.660.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.560.700.00000.000	22.20.01	22.20.56.10.011		1
1.1.1.110.100.201.570.100.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.200.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.200.00000.001	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.220.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.300.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.310.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.320.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.350.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.360.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.400.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.450.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.510.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.640.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.660.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.201.570.700.00000.000	22.20.01	22.20.57.10.011		1
1.1.1.110.100.250.500.100.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.300.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.310.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.320.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.350.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.360.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.400.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.450.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.500.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.621.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.631.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.660.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.500.700.00000.000	22.20.05	22.20.50.10.015		1
1.1.1.110.100.250.510.100.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.300.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.310.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.320.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.350.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.360.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.400.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.450.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.500.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.621.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.631.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.660.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.510.700.00000.000	22.20.05	22.20.51.10.015		1
1.1.1.110.100.250.520.100.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.300.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.310.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.320.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.350.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.360.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.400.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.450.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.500.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.621.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.631.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.660.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.520.700.00000.000	22.20.05	22.20.52.10.015		1
1.1.1.110.100.250.530.100.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.300.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.310.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.320.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.350.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.360.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.400.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.450.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.500.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.621.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.631.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.660.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.530.700.00000.000	22.20.05	22.20.53.10.015		1
1.1.1.110.100.250.540.100.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.300.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.310.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.320.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.350.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.360.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.400.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.450.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.500.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.621.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.631.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.660.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.540.700.00000.000	22.20.05	22.20.54.10.015		1
1.1.1.110.100.250.550.100.00000.000	22.20.05	22.20.55.10.015		1
1.1.1.110.100.250.550.300.00000.000	22.20.05	22.20.55.10.015		1
1.1.1.110.100.250.550.310.00000.000	22.20.05	22.20.55.10.015		1
1.1.1.110.100.250.550.320.00000.000	22.20.05	22.20.55.10.015		1
1.1.1.110.100.250.550.350.00000.000	22.20.05	22.20.55.10.015		1
1.1.1.110.100.250.550.360.00000.000	22.20.05	22.20.55.10.015		1
1.1.1.110.100.250.550.400.00000.000	22.20.05	22.20.55.10.015		1
1.1.1.110.100.250.550.450.00000.000	22.20.05	22.20.55.10.015		1
1.1.1.110.100.250.550.500.00000.000	22.20.05	22.20.55.10.015		1
1.1.1.110.100.250.550.621.00000.000	22.20.05	22.20.55.10.015		1
