//Map No	Old Grouping	New Grouping	New Flip	1
1.1.1.100.100.100.100.440.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.450.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.450.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.600.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.600.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.601.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.601.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.610.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.610.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.611.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.611.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.660.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.660.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.100.700.00000.000	20.20.10.001	20.20.01.10.001		1
1.1.1.100.100.100.100.700.01000.000	20.20.10.011	20.20.01.10.011		1
1.1.1.100.100.100.150.100.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.200.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.200.01000.001	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.220.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.300.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.320.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.350.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.360.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.400.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.440.00000.000	20.20.10.001	20.20.02.10.001		1
1.1.1.100.100.100.150.451.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.600.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.601.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.610.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.611.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.660.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.150.700.01000.000	20.20.10.011	20.20.02.10.011		1
1.1.1.100.100.100.200.100.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.100.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.200.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.200.00000.001	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.200.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.200.01000.001	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.205.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.205.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.206.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.206.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.207.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.220.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.220.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.230.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.240.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.240.01000.000	20.20.10.011	20.20.03.10.011		1
1.1.1.100.100.100.200.300.00000.000	20.20.10.001	20.20.03.10.001		1
1.1.1.100.100.100.200.300.01000.000	20.20.10.011	20.20.03.10.011		1
